,Year,status,Brunei Darussalam,Cambodia,Indonesia ,Lao's PDR,Malaysia ,Myanmar,Philippines,Singapore,Thailand,Viet Nam
0,2004-01-01,male,4.2,1.9,10.5,,3.4,3.6,10.4,5.6,2.1,1.9
1,2005-01-01,male,,,9.3,1.3,3.4,3.7,7.4,3.9,1.9,
2,2006-01-01,male,7.4,,8.5,,3.3,3.7,7.7,3.4,1.3,
3,2007-01-01,male,7.4,0.7,8.1,,3.1,3.7,6.4,2.8,1.3,2.3
4,2008-01-01,male,7.5,0.3,7.6,,3.2,3.7,7.0,3.0,1.3,2.5
5,2009-01-01,male,7.5,0.2,7.5,,3.6,3.7,7.4,4.1,1.2,2.5
6,2010-01-01,male,7.6,0.4,6.2,1.8,3.2,3.7,7.4,3.0,0.9,2.3
7,2011-01-01,male,7.5,0.3,5.9,,2.9,3.7,6.7,2.6,0.6,1.7
8,2012-01-01,male,7.6,0.1,5.8,,2.9,3.7,7.0,2.7,0.6,1.6
9,2013-01-01,male,,0.3,6.1,,2.9,3.7,6.7,2.7,0.8,2.0
10,2014-01-01,male,6.2,,5.8,,,3.8,,2.7,,2.1
11,2004-01-01,female,5.6,2.7,16.8,,3.8,4.6,11.7,6.2,2.1,2.4
12,2005-01-01,female,,,14.7,1.2,3.7,4.6,7.3,4.5,1.7,
13,2006-01-01,female,9.2,,13.4,,3.4,4.6,6.9,3.7,1.1,
14,2007-01-01,female,9.6,0.8,10.8,,3.4,4.6,6.0,3.1,1.1,2.1
15,2008-01-01,female,10.1,0.4,9.7,,3.7,4.6,6.6,3.5,1.0,1.9
16,2009-01-01,female,10.7,0.1,8.5,,3.8,4.6,6.7,4.7,1.1,2.7
17,2010-01-01,female,11.3,0.3,8.7,2.0,3.4,4.6,6.7,3.4,0.8,3.1
18,2011-01-01,female,11.7,0.1,7.6,,3.3,4.6,6.1,3.2,0.7,2.4
19,2012-01-01,female,12.4,0.2,6.8,,3.2,4.6,6.7,3.1,0.5,2.0
20,2013-01-01,female,,0.3,6.5,,3.4,4.6,5.9,2.9,0.8,2.0
21,2014-01-01,female,7.8,,6.3,,,4.0,,2.9,,2.1
