,tanggal,status,Brunei Darussalam,Cambodia,Indonesia,Lao PDR,Malaysia,Myanmar,Philippines,Singapore,Thailand,Viet Nam,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
0,2007-01-01,Export,2149511558.28,251421813.55,22292114745.0,231943371.38,45295626512.0,3427734336.65,8031906316.0,95553839497.05,32894236713.0,7730837413.15,,,,,,,,,,,,,,,,,,,,,,,
1,2007-01-01,Import,1043276218.54,1282970649.29,23792133688.0,576491692.95,37315907584.0,1413085709.04,12875119490.0,66629309973.46,24992537194.2,15444465013.44,,,,,,,,,,,,,,,,,,,,,,,
2,2008-01-01,Export,2480394931.28,310619959.75,27170819686.0,604274701.28,50398915527.42,3851548080.93,7081712225.0,109914854864.29,39487047265.09,10017790975.81,,,,,,,,,,,,,,,,,,,,,,,
3,2008-01-01,Import,1200094778.44,1599295843.17,40991662181.0,1490858342.32,34675325050.89,1728179618.7,14316678226.0,75141836022.05,29888246464.02,19476777995.45,,,,,,,,,,,,,,,,,,,,,,,
4,2009-01-01,Export,1187066587.87,644631792.82,24623898564.0,997337786.08,40361510737.32,3196418035.15,5838429441.0,82340968312.13,32490608008.0,8554799400.97,,,,,,,,,,,,,,,,,,,,,,,
5,2009-01-01,Import,1255112067.84,1453267959.8,27742398273.0,1480796313.67,31700238134.19,2065903077.04,11561073089.0,59158001238.91,26759515762.0,13566691838.82,,,,,,,,,,,,,,,,,,,,,,,
6,2010-01-01,Export,1096169746.88,313480778.32,33347510079.0,1151833526.07,50395722113.03,4194081160.46,11557640365.0,107672854603.1,44317939586.97,10350948467.43,,,,,,,,,,,,,,,,,,,,,,,
7,2010-01-01,Import,1234407237.19,1676016522.33,47124718198.0,1487740213.71,44716962166.13,1980886113.14,16269810543.0,74924562386.01,32642972506.79,16407519973.25,,,,,,,,,,,,,,,,,,,,,,,
8,2011-01-01,Export,1733545901.8,416875059.34,42098872453.0,1039812503.01,56098290975.1,4498592023.69,8635262829.0,133868287832.42,54044916355.1,13583279292.77,,,,,,,,,,,,,,,,,,,,,,,
9,2011-01-01,Import,1548798686.07,2206649292.1,51300184712.0,1857230376.55,52173593883.09,3919202697.79,15040316086.0,78501014709.52,39463053650.23,20910169169.1,,,,,,,,,,,,,,,,,,,,,,,
10,2012-01-01,Export,2104147108.29,344533607.49,41831097108.0,904677178.33,60946905138.94,4388465942.74,9804383326.0,133723672160.89,56730467212.03,17072818323.26,,,,,,,,,,,,,,,,,,,,,,,
11,2012-01-01,Import,1603025635.11,2765444686.76,53823355864.0,1684504271.04,54869136966.74,4003461076.99,14953913937.0,80234242252.49,42805040504.91,20874551951.93,,,,,,,,,,,,,,,,,,,,,,,
12,2013-01-01,Export,2644351256.62,526747575.44,40629958093.0,1345553121.0,63947537527.08,5458821003.78,8614870247.0,137946095741.86,59320500621.55,18178909656.43,,,,,,,,,,,,,,,,,,,,,,,
13,2013-01-01,Import,1843656602.89,2818248856.28,54030994802.0,2617420361.61,55021370383.9,4752690224.81,14171352464.0,78181435370.99,44348135720.97,21352952928.71,,,,,,,,,,,,,,,,,,,,,,,
14,2014-01-01,Export,2093000403.09,362196061.84,39668109515.0,1390791152.38,65238638750.23,4360031216.96,9211672966.0,130198685479.34,59425801805.88,18260518404.49,,,,,,,,,,,,,,,,,,,,,,,
15,2014-01-01,Import,1767648750.6,2915820513.29,50903135935.0,3486212513.81,53726314944.76,7094099798.19,16404431043.0,75770075100.4,43299451799.45,22537137379.46,,,,,,,,,,,,,,,,,,,,,,,
16,2015-01-01,Export,1239487950.86,689537414.38,33572259230.0,1578003166.42,56169117492.86,4462331394.99,8536878729.0,107802942469.9,55165005681.54,18063708960.85,,,,,,,,,,,,,,,,,,,,,,,
17,2015-01-01,Import,1405443372.04,4677335961.15,30032577328.0,2778854105.52,46678653993.46,7005291678.05,17041970932.49,64874516767.13,41071823682.71,23827404372.35,,,,,,,,,,,,,,,,,,,,,,,
18,2016-01-01,Export,1216841338.12,870181539.27,33830310393.64,1550739192.29,55681072529.49,3347985687.11,8400632626.0,99374897452.76,54656995421.3,17289055326.77,,,,,,,,,,,,,,,,,,,,,,,
19,2016-01-01,Import,1290425299.13,4613681441.87,34817276950.0,3052364153.09,41411056843.14,5909697912.88,22494822539.0,62733153997.24,39601637582.66,23870059513.45,,,,,,,,,,,,,,,,,,,,,,,
