,tanggal,status, Brunei Darussalam, Cambodia, Indonesia, Lao PDR, Malaysia, Myanmar, Philippines, Singapore, Thailand, Viet Nam
0,2010-01-01,Export,460.5,2028.46,16670.51,511.0,33822.79,350.7,17782.0,100832.2,34339.83,7417.0
1,2010-01-01,Import,1267.3,980.24,26460.99,263.12,31833.54,729.2,12017.0,101212.69,41333.32,9857.0
2,2011-01-01,Export,500.6,2730.12,21888.15,549.66,38879.26,700.9,18878.0,119253.76,41544.63,8653.2
3,2011-01-01,Import,1817.4,1329.75,31691.43,321.64,38402.9,1100.0,12316.0,118254.55,46097.41,11804.0
4,2012-01-01,Export,482.7,3192.12,23660.24,643.35,40629.38,1040.5,20439.2,127361.69,49722.26,9577.0
5,2012-01-01,Import,2639.9,1535.19,34224.42,382.82,43398.32,1322.8,14260.5,130885.41,45671.41,10995.0
6,2013-01-01,Export,492.8,3493.72,22944.07,780.43,41981.06,1622.8,23335.16,139687.29,58776.41,10664.0
7,2013-01-01,Import,2857.5,1762.82,35014.56,534.01,45016.09,1475.0,16320.39,147062.65,47402.11,13782.0
8,2014-01-01,Export,557.8,3810.81,23530.91,764.46,41967.34,3127.6,25498.09,153398.23,55535.73,11002.0
9,2014-01-01,Import,2190.2,1883.02,33540.63,496.98,45232.26,2263.5,20921.61,159414.57,45247.27,14958.0
10,2015-01-01,Export,650.6,3954.73,22220.87,844.06,34847.13,3853.5,29065.05,148601.25,61758.77,11195.0
11,2015-01-01,Import,1657.6,1903.77,30917.54,642.44,40129.83,2437.7,23610.21,154507.71,42518.31,16100.0
12,2016-01-01,Export,530.5,4458.29,23478.2,830.97,35270.61,3779.4,31357.24,149647.12,65244.58,12228.0
13,2016-01-01,Import,1644.6,1951.65,30521.33,619.17,39872.59,2899.5,24232.73,155585.88,42778.43,16477.0
